,cast,country,date_added,director,duration,listed_in,rating,ratingLevel,release_year,title,type
82,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",United States,2021-09-10,Unknown,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",TV-14,Parental guidance suggested. May not be suitable for all children.,2021,Lucifer,TV Show
83,Jo Koy,Unknown,2021-09-10,Unknown,1 Season,Reality TV,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2021,Metal Shop Masters,TV Show
84,"Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Nigeria,2021-09-10,"JJC Skillz, Funke Akindele",147 min,"Action & Adventure, Comedies, Dramas",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2020,Omo Ghetto: the Saga,Movie
85,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",Unknown,2021-09-10,Unknown,1 Season,"Anime Series, Kids' TV",TV-Y7,Unknown,2021,Pokémon Master Journeys: The Series,TV Show
86,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",Unknown,2021-09-10,Thomas Sieben,87 min,"International Movies, Thrillers",TV-MA,"some thematic elements, rude humor and action",2021,Prey,Movie
87,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",Unknown,2021-09-10,Unknown,2 Seasons,"Kids' TV, Korean TV Shows",TV-Y,"pervasive language, some sexual material, violence and drug use",2019,Titipo Titipo,TV Show
88,"Malcolm X, Muhammad Ali",Unknown,2021-09-09,Marcus Clarke,96 min,"Documentaries, Sports Movies",PG-13,mild thematic elements,2021,Blood Brothers: Malcolm X & Muhammad Ali,Movie
89,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava",Unknown,2021-09-09,Unknown,4 Seasons,Kids' TV,TV-Y7,For mature audiences.  May not be suitable for children 17 and under.,2017,Mighty Raju,TV Show
90,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath","Spain, United States",2021-09-09,Alice Waddington,95 min,"Sci-Fi & Fantasy, Thrillers",TV-MA,"strong crude sexual content, pervasive language, and drug use",2019,Paradise Hills,Movie
91,Unknown,France,2021-09-09,"Mona Achache, Patricia Tourancheau",92 min,"Documentaries, International Movies",TV-14,"for action, peril and brief language",2021,The Women and the Murderer,Movie
92,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",Belgium,2021-09-08,Unknown,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",TV-MA,"some sexual material, and language throughout",2021,Into the Night,TV Show
93,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",Unknown,2021-09-08,Alexis Almström,91 min,"Dramas, International Movies, Romantic Movies",TV-MA,Unknown,2021,JJ+E,Movie
94,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale","United Kingdom, United States",2021-09-08,Raja Gosnell,90 min,"Children & Family Movies, Comedies",PG,Unknown,2018,Show Dogs,Movie
95,Michelle Buteau,"United States, United Kingdom",2021-09-08,Unknown,3 Seasons,Reality TV,TV-MA,Unknown,2021,The Circle,TV Show
96,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,2021-09-07,Stephen Kijak,97 min,"Documentaries, Music & Musicals",TV-MA,Unknown,2018,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie
97,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",United States,2021-09-07,Unknown,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",TV-Y7,For mature audiences.  May not be suitable for children 17 and under.,2021,Kid Cosmic,TV Show
98,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,2021-09-07,Unknown,1 Season,"British TV Shows, Kids' TV",TV-Y,Unknown,2021,Octonauts: Above & Beyond,TV Show
99,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States",2021-09-07,Unknown,1 Season,"TV Comedies, TV Dramas",TV-MA,Unknown,2021,On the Verge,TV Show
100,"Austin Abell, Travis Turner, Cole Howard, Anna Cummer, Jesse Inocalla, Brian Dobson, Michael Adamthwaite, Joseph Girgis, Caitlyn Bairstow",Unknown,2021-09-07,Unknown,2 Seasons,Kids' TV,TV-Y7,"language, some drug use, violence and partial nudity",2019,Tobot Galaxy Detectives,TV Show
101,Unknown,United States,2021-09-07,"Chapman Way, Maclain Way",80 min,"Documentaries, Sports Movies",TV-MA,"strong violence, sexual content and adult language",2021,Untold: Breaking Point,Movie
102,Unknown,Unknown,2021-09-06,Jason Hehir,1 Season,"Docuseries, Science & Nature TV",TV-14,For mature audiences.  May not be suitable for children 17 and under.,2021,Countdown: Inspiration4 Mission to Space,TV Show
103,"Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics, Toyin Aimakhu, Segun Arinze, Jibola Dabo, Rotimi Salami, Pa Jimi Solanke, Rachael Okonkwo, Bassey Okon, Lucien Morgan, Magdalena Korpas",Unknown,2021-09-06,Yemi Amodu,117 min,"Dramas, International Movies, Thrillers",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2020,Shadow Parties,Movie
104,"Robyn Slade, Kami Desilets",South Korea,2021-09-06,Unknown,2 Seasons,"Kids' TV, Korean TV Shows",TV-Y,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,Tayo the Little Bus,TV Show
105,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese",India,2021-09-05,Lijo Jose Pellissery,128 min,"Action & Adventure, Comedies, Dramas",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2017,Angamaly Diaries,Movie
106,"Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu",United States,2021-09-05,Unknown,5 Seasons,"Kids' TV, TV Comedies",TV-G,For mature audiences.  May not be suitable for children 17 and under.,2021,Bunk'd,TV Show
107,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",United States,2021-09-04,David de Vos,90 min,"Children & Family Movies, Dramas",G,For mature audiences.  May not be suitable for children 17 and under.,2018,A Champion Heart,Movie
108,"Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant",Australia,2021-09-03,Unknown,1 Season,"Kids' TV, TV Dramas, Teen TV Shows",TV-G,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Dive Club,TV Show
109,"Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous, Enrique Arce, Pedro Alonso, María Pedraza, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Peric, Kiti Mánver",Spain,2021-09-03,Unknown,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,La casa de papel,TV Show
110,Unknown,Unknown,2021-09-03,"Luis Alfaro, Javier Gómez Santander",1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2021,Money Heist: From Tokyo to Berlin,TV Show
111,"Liam Mitchell, Dee Bradley Baker, Grey Griffin, Josh McDermitt, Kari Wahlgren, Judy Alice Lee, Ali Mawji","United States, Singapore",2021-09-03,Unknown,1 Season,Kids' TV,TV-Y,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Sharkdog,TV Show
112,"Michael Keaton, Stanley Tucci, Amy Ryan, Shunori Ramanathan, Ato Blankson-Wood, Tate Donovan, Laura Benanti, Chris Tardio",Unknown,2021-09-03,Sara Colangelo,119 min,Dramas,PG-13,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Worth,Movie
113,"Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf, Gloria Garcia, Myfanwy Waring, Spencer Sutherland",Unknown,2021-09-02,Stephen Herek,110 min,"Comedies, Romantic Movies",TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Afterlife of the Party,Movie
114,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena, Kiran Kumar",India,2021-09-02,Rahul Rawail,143 min,"Dramas, International Movies, Thrillers",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,1994,Anjaam,Movie
115,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin","United Kingdom, Australia, France",2021-09-02,Jane Campion,119 min,"Dramas, Romantic Movies",PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2009,Bright Star,Movie
116,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat",India,2021-09-02,Nagesh Kukunoor,114 min,"Comedies, Dramas, Independent Movies",TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,Dhanak,Movie
117,Unknown,"United Kingdom, United States",2021-09-02,Luke Holland,94 min,Documentaries,PG-13,some sexual material,2021,Final Account,Movie
118,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma",India,2021-09-02,Shanker Raman,106 min,"Dramas, International Movies, Thrillers",TV-14,Unknown,2017,Gurgaon,Movie
119,"Janine Gutierrez, JC Santos, Victor Anastacio, Yesh Burce, Lotlot De Leon",Unknown,2021-09-02,JP Habac,99 min,"Dramas, International Movies, Romantic Movies",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2020,Here and There,Movie
120,"Jon Allen, Kellen Goff, Joe Hernandez, Kaiji Tang",Australia,2021-09-02,Unknown,1 Season,"Kids' TV, TV Comedies",TV-Y7,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Heroes of Goo Jit Zu,TV Show
121,"Lee Ji-eun, Yeo Jin-goo, Shin Jung-geun, Seo Yi-sook, Bae Hae-sun, Pyo Ji-hoon, Cho Hyun-chul, Kang Hong-suk, Lee Do-hyun, Lee Tae-seon, Kang Mina, Park You-na, Oh Ji-ho",Unknown,2021-09-02,Unknown,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,For mature audiences.  May not be suitable for children 17 and under.,2019,Hotel Del Luna,TV Show
122,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh, Kevin Bacon, Yaani King Mondschein, Heather Litteer","United Kingdom, Australia, France, United States",2021-09-02,Jane Campion,118 min,Thrillers,R,For mature audiences.  May not be suitable for children 17 and under.,2003,In the Cut,Movie
123,Unknown,Unknown,2021-09-02,Unknown,1 Season,Kids' TV,TV-Y7,For mature audiences.  May not be suitable for children 17 and under.,2012,Luv Kushh,TV Show
124,Unknown,South Korea,2021-09-02,Unknown,3 Seasons,"Kids' TV, Korean TV Shows",TV-Y7,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,Pororo - The Little Penguin,TV Show
125,"Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers",United States,2021-09-02,Unknown,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2021,Q-Force,TV Show
126,"Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai",India,2021-09-02,Vidhu Vinod Chopra,115 min,"Dramas, International Movies, Romantic Movies",TV-14,For mature audiences.  May not be suitable for children 17 and under.,2020,Shikara,Movie
127,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada",2021-09-01,Mark Rosman,95 min,"Children & Family Movies, Comedies",PG,For mature audiences.  May not be suitable for children 17 and under.,2004,A Cinderella Story,Movie
128,"Glenn Close, Terence Stamp, Max Irons, Gillian Anderson, Christina Hendricks, Stefanie Martini, Julian Sands, Honor Kneafsey, Christian McKay, Amanda Abbington",Unknown,2021-09-01,Gilles Paquet-Brenner,115 min,"Dramas, International Movies, Thrillers",PG-13,For mature audiences.  May not be suitable for children 17 and under.,2017,Agatha Christie's Crooked House,Movie
129,"Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson","Germany, United States",2021-09-01,Lasse Hallström,108 min,Dramas,PG-13,Unknown,2005,An Unfinished Life,Movie
130,"America Young, Amber May, Giselle Fernandez, Alejandro Saab, Dinora Walcott",Unknown,2021-09-01,Scott Pleydell-Pearce,63 min,"Children & Family Movies, Music & Musicals",TV-Y,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Barbie Big City Big Dreams,Movie
131,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull",United States,2021-09-01,Ridley Scott,117 min,"Action & Adventure, Classic Movies, Cult Movies",R,Parental guidance suggested. May not be suitable for all children.,1982,Blade Runner: The Final Cut,Movie
132,"Tseng Yun-fan, Kao Yun-shuo, Chiang Ching-yen, Meng Ching-fu, Huang Bai-wei, Ma Kuo-yao, Chen Yen-chun, Sun Ke-fang, Kai Yang-niu, Chen Yu-wen, Nick Liao, Lin Kai-ling, Mickey Huang, Liu Kuan-ting, Jiang Du-hui",Unknown,2021-09-01,Unknown,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Brave Animated Series,TV Show
133,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States",2021-09-01,Neill Blomkamp,121 min,"Action & Adventure, Sci-Fi & Fantasy",R,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,Chappie,Movie
134,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz","United States, Mexico",2021-09-01,Phillip Noyce,142 min,"Action & Adventure, Dramas",PG-13,For mature audiences.  May not be suitable for children 17 and under.,1994,Clear and Present Danger,Movie
135,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon, Craig Fairbrass, Ralph Waite, Max Perlich, Paul Winfield","United States, Italy, France, Japan",2021-09-01,Renny Harlin,113 min,Action & Adventure,R,For mature audiences.  May not be suitable for children 17 and under.,1993,Cliffhanger,Movie
136,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone","United States, Italy, Romania, United Kingdom",2021-09-01,Anthony Minghella,154 min,"Dramas, Romantic Movies",R,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2003,Cold Mountain,Movie
137,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson","Australia, United States",2021-09-01,Simon Wincer,95 min,"Action & Adventure, Comedies",PG,Unknown,2001,Crocodile Dundee in Los Angeles,Movie
138,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",United States,2021-09-01,Lasse Hallström,108 min,"Dramas, Romantic Movies",PG-13,Unknown,2010,Dear John,Movie
139,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",United States,2021-09-01,Spike Lee,120 min,"Classic Movies, Comedies, Dramas",R,Unknown,1989,Do the Right Thing,Movie
140,"Joaquín Furriel, Luis Ziembrowski, Guillermo Pfening, Mónica Lairana, Germán de Silva, Victoria Raposo, Andrea Garrote","Argentina, Venezuela",2021-09-01,Sebastián Schindel,100 min,"Dramas, International Movies, Thrillers",TV-MA,Unknown,2014,"El patrón, radiografía de un crimen",Movie
141,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen","United States, United Kingdom, Canada",2021-09-01,Steven C. Miller,82 min,Action & Adventure,R,For mature audiences.  May not be suitable for children 17 and under.,2015,Extraction,Movie
142,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith","Germany, United States",2021-09-01,Richard LaGravenese,124 min,Dramas,PG-13,Unknown,2007,Freedom Writers,Movie
143,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,2021-09-01,Martin Campbell,114 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,For mature audiences.  May not be suitable for children 17 and under.,2011,Green Lantern,Movie
144,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",United States,2021-09-01,Reginald Hudlin,104 min,"Comedies, Cult Movies",R,Unknown,1990,House Party,Movie
145,"Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",United States,2021-09-01,"George Jackson, Doug McHenry",94 min,"Comedies, Cult Movies, Music & Musicals",R,Parental guidance suggested. May not be suitable for all children.,1991,House Party 2,Movie
146,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",United States,2021-09-01,Eric Meza,94 min,"Comedies, Music & Musicals",R,Unknown,1994,House Party 3,Movie
